qtytlkkk,7.81653487598,7.81653487598,7.81653487598,6.51797188389,135.93960279,133.703892036,131.372136911,-728.40235828,-1243.76195605,-1544.44927074,-1716.39372211,-1811.83216553,-1864.24244334,-1893.34033838,-1909.24963347,-1917.90257109,-1924.78716794,-1929.60856483,-1976.20247891,-1977.43835089,-1978.39496581,-1979.19550997,-1979.92200894,-1980.61652458,-1981.30087986,-1981.98618984,-1982.67793456,-1983.37865085,-1984.08935519,-1984.81029278,-1985.54133004,-1986.282159,-1987.03240294,-1987.79167017,-1988.55958087,-1989.33578005,-1990.1199433,-1990.91177905,-1991.71102916,-1992.51746881,-1993.33090618,-1994.1511823,-1994.97817113,-1995.81178013,-1996.65195118,-1997.49866226,-1998.35192976,-1999.21181167,-2000.07841194,-2000.95188608,-2001.83244855,-2002.72038243,-2003.61605188,-2004.51991872,-2005.43256415,-2006.35471805,-2007.28729866,-2008.23146752,-2009.18870703,-2010.16093252,-2011.15065917,-2012.16125897,-2013.19737335,-2014.26560955,-2015.37579324,-2016.5434114,-2017.79492083,-2019.18117583,-2020.82022517,-2023.10211577,-2029.44557123,-2027.49324369,-2028.30591636,-2029.12225045,-2029.94121411,-2030.76289451,-2031.58736489,-2032.41469235,-2033.24493862,-2034.0781608,-2034.91441175,-2035.75374047,-2036.59619234,-2037.44180932,-2038.29063017,-2039.14269063,-2039.99802353,-2040.85665899,-2041.71862452,-2042.5839452,-2043.45264376,-2044.32474071,-2045.2002545,-2046.07920158,-2046.96159652,-2047.84745215,-2048.73677962,-2049.62958851,-2050.52588694,-2051.42568162,-2052.32897799
vgrovuli,4.60027059027,4.60027059027,4.60027059027,-14.4413559698,-18.6765272486,-81.3461243145,-83.9331790293,-943.917876263,-1459.28488862,-1759.94255762,-1931.79041306,-2027.43810552,-2080.68752862,-2110.09870508,-2126.28696133,-2135.22298968,-2140.2223373,-2143.10658319,-2144.86807116,-2146.06464232,-2146.96859088,-2147.73347944,-2148.43996484,-2149.1324306,-2149.83444247,-2150.55853413,-2151.31136774,-2152.09647163,-2152.9156882,-2153.76993756,-2154.65961942,-2155.58482473,-2156.54544764,-2157.54124564,-2158.57187309,-2159.63690106,-2160.73583056,-2161.86810235,-2163.03310537,-2164.2301843,-2165.45864694,-2166.71777119,-2168.00681187,-2169.32500718,-2170.67158486,-2172.04576781,-2173.44677926,-2174.87384745,-2176.32620968,-2177.80311587,-2179.3038316,-2180.82764053,-2182.37384654,-2183.94177524,-2185.53077524,-2187.14021907,-2188.76950378,-2190.41805138,-2192.08530914,-2193.77074984,-2195.47387198,-2197.19420026,-2198.93128628,-2200.68471005,-2202.4540825,-2204.23905032,-2206.03930521,-2207.8546029,-2209.68480729,-2211.53001597,-2213.39108198,-2215.27568579,-2217.167419,-2219.07079234,-2220.98351105,-2222.90558049,-2224.83687936,-2226.77729301,-2228.7267133,-2230.68503807,-2232.65217052,-2234.62801865,-2236.61249468,-2238.60551458,-2240.60699763,-2242.61686603,-2244.63504456,-2246.66146031,-2248.6960424,-2250.73872178,-2252.78943099,-2254.84810406,-2256.91467631,-2258.98908425,-2261.07126544,-2263.16115844,-2265.25870268,-2267.36383842,-2269.47650669,-2271.59664918,-2273.72420829
swnkkroj,6.72164289138,6.72164289138,6.72164289138,1872.65092988,1868.95313216,1866.64027216,1864.20652186,1004.35221665,488.727557165,188.14945544,16.4093972586,-79.109078765,-132.19645073,-161.403592468,-177.339997224,-185.975730707,-190.627924042,-193.122160981,-194.454210299,-195.163579355,-195.526203134,-195.711159135,-195.801677205,-195.841984334,-195.855498326,-195.854578641,-195.845728312,-195.832358292,-195.816251407,-195.798335261,-195.779089178,-195.758757929,-195.737463736,-195.715264848,-195.692186121,-195.668234957,-195.643409602,-195.61770346,-195.591107342,-195.563610628,-195.535201885,-195.505869177,-195.475600247,-195.444382599,-195.41220356,-195.379050303,-195.344909875,-195.309769207,-195.273615127,-195.236434368,-195.198213577,-195.158939322,-195.118598096,-195.077176324,-195.034660366,-194.991036519,-194.946291016,-194.900410032,-194.853379673,-194.805185975,-194.755814893,-194.705252285,-194.653483888,-194.600495284,-194.546271846,-194.49079865,-194.434060343,-194.376040894,-194.31672314,-194.256087754,-194.194110361,-194.130747828,-194.065234478,-193.998246203,-193.929876108,-193.860117991,-193.788962486,-193.716398721,-193.642415089,-193.56699964,-193.490140283,-193.411824888,-193.332041344,-193.250777579,-193.168021582,-193.083761409,-192.997985189,-192.910681126,-192.821837501,-192.73144268,-192.639485106,-192.54595331,-192.450835907,-192.354121597,-192.255799172,-192.15585751,-192.054285581,-191.951072447,-191.846207262,-191.739679275,-191.631477829
uqrksipl,6.82351042833,6.82351042833,6.82351042833,-572.208691213,-575.948045997,-578.307579355,-580.80341892,-1440.73521296,-1956.09265459,-2256.76502167,-2428.60902708,-2524.24894826,-2577.47691764,-2606.84331933,-2622.9567452,-2631.7864253,-2636.64590628,-2639.3630706,-2640.93349048,-2641.89664543,-2642.52283769,-2642.98604848,-2643.3694364,-2643.71720694,-2644.05276086,-2644.38844306,-2644.7307432,-2645.08305934,-2645.4471615,-2645.82396432,-2646.21393388,-2646.61730136,-2647.03417501,-2647.46459871,-2647.90858252,-2648.3661187,-2648.83718993,-2649.32177368,-2649.81984445,-2650.33137497,-2650.85633681,-2651.39470071,-2651.94643676,-2652.51151452,-2653.08990307,-2653.68157108,-2654.28648678,-2654.90461804,-2655.53593238,-2656.18039696,-2656.8379786,-2657.50864381,-2658.19235877,-2658.88908936,-2659.59880111,-2660.32145925,-2661.05702867,-2661.8054739,-2662.56675908,-2663.34084795,-2664.12770373,-2664.92728911,-2665.73956606,-2666.56449569,-2667.40203799,-2668.25215139,-2669.11479204,-2669.98991257,-2670.87745951,-2671.77736726,-2672.68953966,-2673.6137525,-2674.54456761,-2675.48761764,-2676.44286722,-2677.41029014,-2678.38985537,-2679.38153029,-2680.38528138,-2681.40107468,-2682.42887594,-2683.46865077,-2684.52036467,-2685.58398306,-2686.65947127,-2687.74679462,-2688.84591835,-2689.95680766,-2691.07942771,-2692.21374363,-2693.35972049,-2694.51732335,-2695.68651724,-2696.86726714,-2698.05953803,-2699.26329484,-2700.4785025,-2701.70512591,-2702.94312995,-2704.19247951,-2705.45313944
owowvwcr,4.32676885277,4.32676885277,4.32676885277,-18.876334652,-23.4859754552,-26.8645111859,-29.8868765236,-890.397203173,-1405.65032057,-1706.21215172,-1877.96053988,-1973.55447289,-2026.83977282,-2056.42682542,-2072.9774107,-2082.48345325,-2088.10434416,-2091.7381252,-2094.35325187,-2096.48190127,-2097.96023404,-2099.31125865,-2100.59093534,-2101.83513646,-2103.06187323,-2104.27974425,-2105.49257941,-2106.70186077,-2107.90797133,-2109.11083033,-2110.31020951,-2111.50588464,-2112.69770302,-2113.88560852,-2115.06964588,-2116.24995518,-2117.42676183,-2118.60036511,-2119.77112627,-2120.93945709,-2122.10580906,-2123.27066337,-2124.43452177,-2125.59789829,-2126.76131192,-2127.92528011,-2129.0903132,-2130.25690962,-2131.42555195,-2132.5967036,-2133.77080626,-2134.94827789,-2136.12951127,-2137.31487294,-2138.50470257,-2139.69931261,-2140.89898812,-2142.1039868,-2143.31453893,-2144.53084743,-2145.7530875,-2146.9814061,-2148.21592058,-2149.45671642,-2150.70384311,-2151.9573069,-2153.21705792,-2154.48296537,-2155.75476579,-2157.03193634,-2158.31329144,-2159.5947235,-2160.77652073,-2161.97345681,-2163.1794218,-2164.39455388,-2165.61896908,-2166.85275687,-2168.09598405,-2169.34869773,-2170.61092788,-2171.88268951,-2173.16398447,-2174.45480308,-2175.7551255,-2177.064923,-2178.38415905,-2179.71279024,-2181.05076716,-2182.39803519,-2183.75453513,-2185.12020384,-2186.49497475,-2187.87877836,-2189.27154268,-2190.67319362,-2192.0836553,-2193.50285041,-2194.93070046,-2196.36712605,-2197.81204708
egaukrej,3.39675089075,3.39675089075,3.39675089075,6236.07034592,6232.36591562,6230.04390433,6227.59794832,5367.72837836,4852.40496065,4551.78272477,4380.00722459,4284.45490437,4231.33309241,4202.08979743,4186.11495612,4177.438173,4172.74168325,4170.20020244,4168.81789648,4168.05523106,4167.62224937,4167.36305997,4167.19441797,4167.07208974,4166.97265368,4166.88374822,4166.79886914,4166.71460483,4166.62917209,4166.54164313,4166.45153855,4166.35861355,4166.26274593,4166.16387748,4166.06198342,4165.95705644,4165.8490984,4165.73811603,4165.62411867,4165.5071171,4165.38712296,4165.2641484,4165.13820592,4165.00930826,4164.8774684,4164.74269947,4164.60501475,4164.4644277,4164.32095186,4164.17460092,4164.02538867,4163.87332901,4163.71843595,4163.56072358,4163.40020606,4163.23689769,4163.07081279,4162.90196579,4162.7303712,4162.55604361,4162.37899767,4162.19924815,4162.0168099,4161.8316979,4161.64392725,4161.45351327,4161.26047149,4161.06481782,4160.86656871,4160.6657415,4160.46235534,4160.25643386,4160.04807182,4159.83730811,4159.62403751,4159.40826778,4159.19000974,4158.96927577,4158.74607903,4158.52043303,4158.29235146,4158.06184808,4157.82893668,4157.59363102,4157.35594483,4157.11589182,4156.87348565,4156.62873994,4156.38166824,4156.13228408,4155.88060093,4155.6266322,4155.37039125,4155.11189138,4154.85114584,4154.58816782,4154.32297044,4154.05556677,4153.78596982,4153.51419252,4153.24024776
mtxueizs,3.40941434778,3.40941434778,3.40941434778,-6233.85793732,-6237.56728871,-6239.8970525,-6242.35335184,-7102.23573818,-7617.57500909,-7918.2154771,-8090.01164523,-8185.58712539,-8238.73461893,-8268.00613487,-8284.01174607,-8292.72185326,-8297.45426455,-8300.03422898,-8301.45758163,-8302.26387471,-8302.74368407,-8303.05230282,-8303.27297602,-8303.44993748,-8303.60660893,-8303.75535209,-8303.90267131,-8304.05197834,-8304.2050565,-8304.36283371,-8304.52578952,-8304.69416888,-8304.86809414,-8305.04762366,-8305.23278238,-8305.42357779,-8305.62000818,-8305.822067,-8306.02974509,-8306.24303183,-8306.46191579,-8306.686385,-8306.91642715,-8307.15202968,-8307.39317982,-8307.63986462,-8307.892071,-8308.14978572,-8308.41299543,-8308.68168664,-8308.95584577,-8309.23545912,-8309.52051292,-8309.81099326,-8310.1068862,-8310.40817767,-8310.71485355,-8311.02689963,-8311.34430164,-8311.66704521,-8311.99511591,-8312.32849922,-8312.66718053,-8313.01114511,-8313.36037812,-8313.71486453,-8314.07458913,-8314.43953636,-8314.80969024,-8315.18503408,-8315.56555014,-8315.95122219,-8316.34194423,-8316.73767962,-8317.1385343,-8317.54450073,-8317.95556828,-8318.37172478,-8318.79295726,-8319.21925243,-8319.65059677,-8320.08697674,-8320.52837875,-8320.97478924,-8321.42619468,-8321.88258157,-8322.34393644,-8322.81024589,-8323.28149654,-8323.75767509,-8324.23876826,-8324.72476284,-8325.21564569,-8325.71140369,-8326.2120238,-8326.71749304,-8327.22779849,-8327.74292727,-8328.26286659,-8328.78760371,-8329.31712595
mcpnjtsk,6.76957328697,6.76957328697,6.76957328697,-2314.7340004,-2318.44724502,-2320.78209295,-2323.24521391,-3183.13556755,-3698.48309024,-3999.13344786,-4170.94127654,-4266.53015798,-4319.69274565,-4348.98099613,-4365.00494711,-4373.73497553,-4378.488611,-4381.09134303,-4382.53899973,-4383.3712368,-4383.87852682,-4384.21615374,-4384.46736265,-4384.67638694,-4384.86664811,-4385.05050772,-4385.23447006,-4385.42194679,-4385.61472121,-4385.81372121,-4386.01942632,-4386.23208148,-4386.45180903,-4386.67866732,-4386.9126813,-4387.15385843,-4387.40219702,-4387.65769053,-4387.92032978,-4388.19010417,-4388.46700227,-4388.75101211,-4389.04212139,-4389.34031756,-4389.64558785,-4389.95791932,-4390.27729889,-4390.60371333,-4390.93714929,-4391.2775933,-4391.62503177,-4391.97945103,-4392.34083728,-4392.70917667,-4393.08445525,-4393.46665898,-4393.85577377,-4394.25178545,-4394.65467979,-4395.06444251,-4395.48105926,-4395.90451564,-4396.3347972,-4396.77188944,-4397.2157778,-4397.66644768,-4398.12388446,-4398.58807352,-4399.05900041,-4399.53665134,-4400.02101593,-4400.51212293,-4401.00984062,-4401.51409583,-4402.02499175,-4402.54252071,-4403.06667195,-4403.59743316,-4404.13479128,-4404.67873285,-4405.22924426,-4405.78631182,-4406.34992183,-4406.9200606,-4407.49671447,-4408.07986982,-4408.66951307,-4409.26563069,-4409.86820919,-4410.47723514,-4411.09269517,-4411.71457595,-4412.34286421,-4412.97754674,-4413.61861039,-4414.26604208,-4414.91982877,-4415.5799575,-4416.24641537,-4416.91918954,-4417.59826725
jbckijuo,4.1525541546,4.1525541546,4.1525541546,29.0262083502,25.8539534219,24.0035529739,22.2986444252,-836.602496294,-1351.90573159,-1652.52395613,-1824.33797094,-1920.0244085,-1973.51151531,-2003.79058377,-1912.2945967,-1923.58037911,-1930.05282076,-1934.63883496,-1938.29034865,-1938.31689167,-1938.16605824,-1937.82565008,-1937.3789886,-1936.87105186,-1936.32608391,-1935.7572761,-1935.17193785,-1934.57424512,-1933.96669723,-1933.3508877,-1932.72791183,-1932.09858259,-1931.46354548,-1930.82334026,-1930.17843474,-1929.52924383,-1928.87614084,-1928.21946461,-1927.55952434,-1926.89660321,-1926.23096124,-1925.56283766,-1924.892453,-1924.22001092,-1923.54569989,-1922.86969469,-1922.19215776,-1921.51324049,-1920.83308437,-1920.15182199,-1919.4695781,-1918.78647042,-1918.10261049,-1917.41810444,-1916.73305371,-1916.04755569,-1915.36170441,-1914.67559116,-1913.98930514,-1913.30293419,-1912.61656552,-1911.93028677,-1911.24418721,-1910.55835959,-1909.87290299,-1909.18792766,-1908.50356406,-1907.81998222,-1907.13743991,-1906.45643645,-1905.77846388,-1905.11662385,-1904.18838633,-1903.27237889,-1902.36778282,-1901.4741174,-1900.5909378,-1899.71783045,-1898.85441083,-1898.00032117,-1897.15522831,-1896.31882169,-1895.49081163,-1894.67092763,-1893.85891696,-1893.05454331,-1892.25758561,-1891.46783694,-1890.68510353,-1889.90920387,-1889.13996787,-1888.37723614,-1887.62085925,-1886.8706971,-1886.12661837,-1885.38849991,-1884.65622628,-1883.92968927,-1883.20878743,-1882.4934257,-1881.78351504
ifjsmbka,8.8542182256,8.8542182256,8.8542182256,3.52048247204,0.164647582,-1.82946236917,-4.82303389224,-866.963725014,-1382.26066348,-1682.86395712,-1854.64335679,-1950.24671422,-2003.50982504,-2033.04994831,-2049.5728276,-2058.79407903,-2064.41157938,-2068.1824864,-2071.03310187,-2073.51054873,-2074.79200048,-2075.74378916,-2076.51125278,-2077.16659018,-2077.75126144,-2078.29005694,-2078.79835962,-2079.28608563,-2079.75987718,-2080.22435023,-2080.68282152,-2081.13774408,-2081.59097614,-2082.04395309,-2082.4978011,-2082.95341505,-2083.41151352,-2083.87267868,-2084.3373861,-2084.80602713,-2085.27892626,-2085.75635448,-2086.23853978,-2086.72567539,-2087.21792622,-2087.71543394,-2088.21832094,-2088.72669342,-2089.24064366,-2089.76025182,-2090.28558714,-2090.81670876,-2091.35366619,-2091.89649936,-2092.44523849,-2092.99990349,-2093.56050309,-2094.12703354,-2094.69947676,-2095.27779781,-2095.86194142,-2096.45182709,-2097.04734215,-2097.6483315,-2098.25458209,-2098.86579791,-2099.48155774,-2100.10123715,-2100.72384828,-2101.34765114,-2101.96891676,-2102.57479419,-2102.91358443,-2103.27192694,-2103.6496771,-2104.04640147,-2104.46168164,-2104.89511335,-2105.34630575,-2105.81488045,-2106.30047066,-2106.80272032,-2107.32128339,-2107.8558232,-2108.40601193,-2108.97153013,-2109.55206633,-2110.14731667,-2110.75698467,-2111.38078094,-2112.01842297,-2112.66963498,-2113.33414773,-2114.01169841,-2114.70203046,-2115.40489353,-2116.12004331,-2116.84724149,-2117.58625562,-2118.33685905,-2119.09883085
xfinhuod,8.3283350273,8.3283350273,8.3283350273,3.14207412159,8.71610136899,7.03489401479,5.86257765287,-852.34921655,-1367.51525372,-1667.96892791,-1839.57871,-1934.98892339,-1988.03158237,-2017.33896856,-2033.72997976,-2042.87873858,-2049.22084952,-2054.88882041,-934.968246557,-935.524722942,-935.741513497,-935.77380183,-935.704694899,-935.578397017,-935.418364771,-935.23703212,-935.040997653,-934.833780578,-934.617279883,-934.392544465,-934.16017843,-933.920553809,-933.673921897,-933.420471364,-933.16035849,-932.89372281,-932.620695169,-932.341401813,-932.055966434,-931.764511147,-931.467156926,-931.164023757,-930.855230654,-930.540895612,-930.221135521,-929.896066075,-929.565801679,-929.230455352,-928.890138649,-928.544961577,-928.195032522,-927.840458185,-927.481343523,-927.117791692,-926.749904004,-926.377779879,-926.001516807,-925.621210313,-925.236953921,-924.848839118,-924.45695532,-924.061389824,-923.662227761,-923.259552016,-922.85344313,-922.443979129,-922.031235257,-921.615283488,-921.196191552,-920.774020678,-920.348818805,-919.920585821,-919.487325708,-919.051154623,-918.61224924,-918.170678683,-917.726507681,-917.279797766,-916.830608062,-916.378995704,-915.925016074,-915.468722927,-915.010168477,-914.549403455,-914.086477156,-913.621437475,-913.154330945,-912.685202773,-912.214096869,-911.741055879,-911.266121221,-910.789333111,-910.310730598,-909.830351589,-909.348232888,-908.864410216,-908.378918247,-907.891790633,-907.403060032,-906.91275814,-906.42091571
xygugclk,6.7485201874,6.7485201874,6.7485201874,1029.93176654,1026.23703424,1023.92949395,1021.50287217,162.323904952,-352.951052364,-653.551365732,-825.312367333,-920.851591825,-973.960278735,-1003.18987958,-1019.15023084,-1027.81002829,-1032.4884842,-1035.01080104,-1036.37282631,-1037.29669602,-1037.90038156,-1038.33898614,-1038.69563718,-1039.0144452,-1039.31870531,-1039.62064938,-1039.92664887,-1040.23997981,-1040.56228714,-1040.89435805,-1041.23652923,-1041.58890087,-1041.95144898,-1042.32408416,-1042.70668248,-1043.09910162,-1043.50118941,-1043.91278834,-1044.33373802,-1044.76387654,-1045.20304123,-1045.65106921,-1046.10779767,-1046.57306413,-1047.04670664,-1047.52856393,-1048.01847556,-1048.51628202,-1049.0218249,-1049.5349469,-1050.05549203,-1050.58330558,-1051.11823428,-1051.66012632,-1052.2088314,-1052.76420079,-1053.32608737,-1053.89434563,-1054.4688317,-1055.04940337,-1055.63592004,-1056.22824273,-1056.826234,-1057.42975789,-1058.03867977,-1058.65286613,-1059.27218423,-1059.89650147,-1060.52568411,-1061.15959437,-1061.79808164,-1062.44093707,-1063.08531378,-1063.73383002,-1064.38649393,-1065.04320032,-1065.70384257,-1066.36831421,-1067.03650962,-1067.70832441,-1068.38365561,-1069.06240171,-1069.74446273,-1070.42974018,-1071.11813708,-1071.80955792,-1072.50390865,-1073.20109664,-1073.90103067,-1074.6036209,-1075.30877884,-1076.01641734,-1076.72645052,-1077.43879382,-1078.1533639,-1078.87007867,-1079.58885723,-1080.30961985,-1081.03228798,-1081.75678419,-1082.48303216
ewolhnma,0.1285099693,0.1285099693,0.1285099693,-5.45080823583,3.06351193757,1.32428198821,-0.528027474702,-858.972982669,-1374.49637479,-1675.29125233,-1847.2064612,-1942.86688854,-1996.07683639,-2025.4153574,-2041.54973047,-2050.03509836,-2054.77622729,-2057.91242723,-2061.19941235,-2060.16804654,-2059.14483417,-2058.08104044,-2057.0153386,-2055.96860485,-2054.95009783,-2053.96289436,-2053.00706404,-2052.0813651,-2051.18409824,-2050.31350947,-2049.46796159,-2048.64599236,-2047.84632018,-2047.06782801,-2046.30954035,-2045.57059965,-2044.85024502,-2044.14779393,-2043.46262676,-2042.79417397,-2042.1419052,-2041.50532011,-2040.88394038,-2040.27730247,-2039.68495104,-2039.10643255,-2038.54128883,-2037.98905036,-2037.44922898,-2036.92130955,-2036.40474021,-2035.89892071,-2035.4031878,-2034.91679689,-2034.43889813,-2033.96850489,-2033.50445102,-2033.04533177,-2032.58941994,-2032.13454355,-2031.67790138,-2031.21577432,-2030.74305245,-2030.25241589,-2029.73281298,-2029.16636283,-2028.52121986,-2027.73191302,-2026.62722111,-2024.46756983,-1987.8750177,-1988.51536994,-1989.15434465,-1989.78161943,-1990.3978013,-1991.00334696,-1991.5986891,-1992.18424035,-1992.76039604,-1993.32753641,-1993.88602831,-1994.43622656,-1994.97847509,-1995.51310784,-1996.04044961,-1996.56081662,-1997.07451717,-1997.58185202,-1998.08311477,-1998.57859227,-1999.06856478,-1999.55330627,-2000.03308459,-2000.5081616,-2000.97879336,-2001.44523017,-2001.90771673,-2002.36649219,-2002.82179022,-2003.2738391,-2003.72286176
jvflhyko,1.75326268087,1.75326268087,1.75326268087,-3.29914651553,-7.80785963205,-2.39329911983,-0.673935306827,-659.769407689,-1174.86934787,-1475.23095642,-1646.70904788,-1741.92775894,-1794.67967462,-1823.51596418,-1839.04858128,-1847.14491504,-1851.22686544,-1853.12560574,-1853.84006805,-1854.08650405,-1853.97506508,-1853.66148126,-1853.22930172,-1852.72307125,-1852.16653045,-1851.57236881,-1850.94742762,-1850.29546455,-1849.61861755,-1848.91817736,-1848.19499405,-1847.44969019,-1846.68277237,-1845.89468914,-1845.08586105,-1844.25669603,-1843.40759709,-1842.53896607,-1841.65120535,-1840.74471843,-1839.81991003,-1838.87718586,-1837.91695229,-1836.93961592,-1835.94558317,-1834.93525979,-1833.90905049,-1832.86735848,-1831.8105851,-1830.73912937,-1829.65338771,-1828.55375352,-1827.44061692,-1826.31436438,-1825.17537851,-1824.02403774,-1822.86071612,-1821.68578306,-1820.49960317,-1819.30253601,-1818.09493596,-1816.87715197,-1815.64952738,-1814.41239963,-1813.16609983,-1811.91095191,-1810.64727099,-1809.37535902,-1808.09549153,-1806.8078616,-1805.51214144,-1804.15464436,-1802.78860942,-1801.41597197,-1800.03717916,-1798.65254868,-1797.26238761,-1795.86699402,-1794.46665783,-1793.06166125,-1791.6522791,-1790.23877899,-1788.82142148,-1787.40046022,-1785.97614211,-1784.5487074,-1783.11838986,-1781.68541692,-1780.25000978,-1778.81238359,-1777.37274758,-1775.9313052,-1774.4882543,-1773.04378724,-1771.59809105,-1770.15134759,-1768.70373368,-1767.25542124,-1765.80657746,-1764.3573649,-1762.90794163
vykazeau,2.96472392608,-5.0554198153,-5.0554198153,-7.21177807159,-7.861835919,1020.3127155,331.620625746,-97.7920671585,-355.481719591,-507.452230367,-592.328336724,-640.095065082,-666.640038264,-681.243510797,-689.211024135,-693.527863207,-695.852939023,-697.098894304,-697.763633931,-698.117677272,-698.305217782,-698.404281528,-698.4564943,-698.483976847,-698.49844419,-698.506081586,-698.5101458,-698.512347462,-698.513583145,-698.514321868,-698.514808596,-698.515171121,-698.515476063,-698.515758162,-698.516035567,-698.516317795,-698.516609883,-698.516914537,-698.517233248,-698.517566876,-698.517915944,-698.518280797,-698.51866168,-698.519058782,-698.519472255,-698.519902231,-698.520348819,-698.520812119,-698.521292218,-698.521789192,-698.52230311,-698.522834032,-698.523382012,-698.523947103,-698.524529349,-698.525128796,-698.525745493,-698.526379488,-698.527030841,-698.527699624,-698.528385929,-698.529089878,-698.529811641,-698.530551456,-698.531309675,-698.532086826,-698.532883751,-698.533701881,-698.534543901,-698.535415779,-698.536335854,-698.537449248,-698.538340685,-698.539234957,-698.540138244,-698.541053585,-698.541982482,-698.54292565,-698.543883405,-698.544855858,-698.545843014,-698.546844824,-698.547861213,-698.548892086,-698.549937344,-698.55099688,-698.552070583,-698.553158342,-698.554260043,-698.555375569,-698.556504803,-698.557647627,-698.558803921,-698.559973563,-698.561156433,-698.562352408,-698.563561363,-698.564783175,-698.566017719,-698.567264868,-698.568524497
